*InvoiceNo,*Customer,*InvoiceDate,*DueDate,Terms,Location,Memo,Item(Product/Service),ItemDescription,ItemQuantity,ItemRate,*ItemAmount,*ItemTaxCode,*ItemTaxAmount,Service Date
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,Monster Zero sugar ,Monster Zero sugar ,1,,1000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,OGBONO,OGBONO,5,,6000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,OKRO,OKRO,8,,9600.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,PACK BIG,PACK BIG,102,,30600.0,No VAT,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,PEPPERED  CHICKEN,PEPPERED CHICKEN,9,,31500.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,PONMO,PONMO,14,,14000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,POUNDO YAM,POUNDO YAM,25,,17500.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,PUFF PUFF,PUFF PUFF,16,,4800.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,PULPY 5 ALIVE 35CL,PULPY 5 ALIVE 35CL,8,,5600.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,RICE N BEANS,RICE N BEANS,12,,20400.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,SAUSAGE ROLL,SAUSAGE ROLL,10,,7000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,SCHWEPPES CHAPMAN,SCHWEPPES CHAPMAN,8,,2800.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,SEMOVITA,SEMOVITA,5,,2750.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,SPRITE 65CL,SPRITE 65CL,3,,1500.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,STEW BEEF,STEW BEEF,40,,56000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,STEWED CAT FISH,STEWED CAT FISH,5,,15000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,STEWED COW LEG,STEWED COW LEG,2,,4600.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,STEWED GOAT MEAT ,STEWED GOAT MEAT ,4,,11600.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,STEWED TITUS,STEWED TITUS,4,,12000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,STEWED TURKEY,STEWED TURKEY ,4,,15200.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,WHITE BASMATI RICE,WHITE BASMATI RICE,10,,18000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,WHITE RICE,WHITE RICE,15,,15000.0,Sales Tax,,02-09-2024
